Time,Date,Contracts,Direction,Strategy,Trader,USD_Amount,Price
16:46:07,2025-08-13,4.2,YES,BUY,"0xFEc4...Fec0",4.00,0.9433
16:04:25,2025-08-13,4.0,NO,BUY,"0x3f45...C6EC",2.00,0.4987
16:06:07,2025-08-13,4.0,NO,SELL,"0x3f45...C6EC",-1.90,0.5229
16:31:59,2025-08-13,4.0,NO,BUY,"0x3f45...C6EC",2.00,0.4984
16:11:13,2025-08-13,3.7,YES,BUY,"Tiep05",1.00,0.2719
16:33:03,2025-08-13,3.7,NO,SELL,"0x3f45...C6EC",-2.00,0.4537
16:56:35,2025-08-13,2.3,YES,BUY,"0x2b2c...75d3",2.00,0.8822
16:05:43,2025-08-13,2.2,YES,BUY,"0xDc0e...8530",1.00,0.4563
16:31:11,2025-08-13,2.1,NO,BUY,"Tlingg",1.00,0.5135
16:03:29,2025-08-13,2.0,YES,BUY,"Tlingg",1.00,0.5062
16:37:15,2025-08-13,1.9,YES,BUY,"Tlingg",1.00,0.5240
16:10:59,2025-08-13,1.9,YES,BUY,"Jiwoin",0.50,0.2622
16:44:11,2025-08-13,1.2,NO,BUY,"Mrravaleth",0.10,0.9186
16:43:17,2025-08-13,1.1,YES,BUY,"0xE6d7...0d0a",1.00,0.9211
16:23:41,2025-08-13,0.2,YES,BUY,"Coraline",0.10,0.4036
16:38:01,2025-08-13,0.2,YES,BUY,"0xD067...76f8",0.10,0.6139
16:39:09,2025-08-13,0.1,YES,BUY,"SATOSHIANAKONDO",0.10,0.8379
